amfi_code,cagr,sharpe_ratio,alpha,beta,max_drawdown,cagr_rank,sharpe_rank,alpha_rank,dd_rank,score
119094,0.28192608222062465,0.9982309868636414,0.25997054053321056,-0.05986815058386661,-0.20960883862039192,9.0,11.0,9.0,28.0,10.049999999999999
119095,0.015204552427132478,-0.07597357117478923,0.045680128064692294,0.013291723470735529,-0.5167775370852656,39.0,33.0,37.0,39.0,31.25
119120,0.05885271270380055,-0.22657538662791596,0.055762723198290544,0.011990672594122526,-0.04328728923970093,34.0,37.0,34.0,5.0,26.75
119551,0.2578492084946409,1.2082665673727175,0.23219648016717326,-0.05604508562674625,-0.1501238549864533,10.0,4.0,10.0,17.0,7.7
119552,0.21508021785499332,0.9532794968660103,0.1982932218749148,-0.01985302504967574,-0.11803493502764295,15.0,12.0,15.0,11.0,11.6
119598,0.3239808398464554,0.9453082575156093,0.3011144193310002,0.07426648483802883,-0.2870600572176455,2.0,14.0,1.0,36.0,7.9
119599,0.02053064146209893,-0.05718662582817997,0.050572431452751046,0.007680982959652928,-0.5257422117012851,38.0,32.0,36.0,40.0,30.599999999999998
120503,0.18771330105513617,0.7979728586052847,0.17587937785242744,-0.004111147836045636,-0.13897862823061635,17.0,17.0,18.0,14.0,14.35
120504,0.2327744753273051,1.0265242847993004,0.2120943009940057,0.017025361766949257,-0.12588275606922517,13.0,10.0,13.0,12.0,10.2
120505,0.3280159948038617,1.1801011976606497,0.29301371282563315,-0.017391171743071674,-0.18188513572116294,1.0,5.0,3.0,25.0,4.65
120506,0.17072227512921923,0.6488787755249533,0.16283731486753183,0.04770801520256509,-0.1982565826298267,19.0,20.0,20.0,27.0,17.4
120507,0.0723241093234459,0.4957233929533124,0.06747180157927476,-0.0011254611770458527,-0.0009773140045925555,29.0,23.0,31.0,1.0,20.75
120841,0.13522349085511554,0.49427253786723496,0.13068278268538389,0.04167578236653616,-0.1757361416468729,24.0,24.0,25.0,24.0,20.6
120842,0.06696806255006482,0.07599984804658916,0.0785865149291694,0.0006475555544426223,-0.24003511326274884,31.0,30.0,29.0,33.0,25.9
120843,0.30883325525154603,1.3067439695428407,0.2727835993505962,-0.008737359353900992,-0.1297396816518679,6.0,2.0,5.0,13.0,4.6
120844,0.0691037983940288,-0.08874729621557331,0.06454601487990588,-7.563158272733894e-05,-0.0011629327956168556,30.0,34.0,32.0,2.0,24.099999999999998
125497,0.19003613208378556,0.7757902498211207,0.1789129568352085,-0.005459316559048835,-0.15200013055606398,16.0,18.0,16.0,18.0,14.3
125498,0.11293660210400969,0.30061192104254775,0.12055386350487392,-0.01851286878959152,-0.21117279560132118,26.0,27.0,26.0,29.0,22.65
148567,0.30949920362874206,1.4482911703262595,0.2711501636821103,-0.028133312231657458,-0.11265729075028275,5.0,1.0,7.0,8.0,3.95
148568,0.22499840384352243,0.9262873467360148,0.2079171509667248,5.11619674095988e-05,-0.1527259422823477,14.0,15.0,14.0,19.0,12.65
148569,0.31924485848158723,1.2349300257743296,0.28347336470728673,-0.010201365088271732,-0.1639674294693263,4.0,3.0,4.0,21.0,4.85
149322,0.13383520958789363,0.4640374492204776,0.13129906992674878,0.014848756863667921,-0.14844576917771746,25.0,25.0,24.0,16.0,20.150000000000002
149323,0.29558105232568344,1.1321218524747245,0.26583594480787764,0.003478530079790704,-0.17248105753451382,8.0,6.0,8.0,22.0,7.7
149324,0.3226210752841656,0.9497958246616031,0.2981786893056835,0.13260808824054152,-0.31171900300634214,3.0,13.0,2.0,37.0,8.25
